iestades_kods;nosaukums
760200020;Lācis Jānis - ārsta prakse ķirurģijā un traumatoloģijā, ortopēdijā
320200020;Dandēna Ausma - masiera prakse
741000006;Tingbranda Rianda - ārsta prakse zobārstniecībā
741400017;Zobārstu prakse Lielvārde, SIA
130000045;Modus Invest, SIA
250000095;Beķeris Ventis - ārsta prakse ķirurģijā
270020302;Ziemeļkurzemes reģionālā slimnīca, SIA
19466204;Latvijas plastiskās, rekonstruktīvās un mikroķirurģijas centrs, SIA
620200036;LSK KURZEMES KOMITEJAS REHABILITĀCIJAS KABINETS, Latvijas Sarkanais krusts
460200023;Bandere Līga - ārsta prakse zobārstniecībā
90065208;Ārstu prakse Anna, Sabiedrība ar ierobežotu atbildību
600200030;KOMBUĻU PAGASTA FELDŠERU PUNKTS, Krāslavas novada Kombuļu pagasta pārvalde
680200002;Lapšovs Igors - ģimenes ārsta, internista un manuālās medicīnas metodes prakse 
780200015;STOĻEROVAS PAGASTA FELDŠERU-VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS STOĻEROVAS PAGASTA PĀRVALDE
90077203;ANDENTA, Sabiedrība ar ierobežotu atbildību
170064003;HILTESTS, SIA
620200045;Viduskurzemes pamatskola-attīstības centrs
250000108;Bērziņa Inga - ģimenes ārsta prakse
170000094;Līce Gunta - ārsta prakse pediatrijā
10020302;Rīgas2. slimnīca, SIA 
680200035;L.Ņemņasevas ģimenes ārsta un pediatra prakse, Sabiedrība ar ierobežotu atbildību
680200007;Kustrova Olga - ārsta prakse zobārstniecībā
840200031;EZERES DOKTORĀTS, SIA
19364010;Ģimenes veselības centrs STĀRĶA LIGZDA, SIA
270077801;Matvejeva Liene - masiera prakse
680200023;Daudiša Vita - ārsta prakse zobārstniecībā
880200051;AS un N, SIA
10000457;Auxilia - ārstu prakse, Sabiedrība ar ierobežotu atbildību
600200027;Piedrujas feldšeru-vecmāšu punkts, Krāslavas novada Piedrujas pagasta pārvalde
600200028;ROBEŽNIEKU FELDŠERU PUNKTS, Krāslavas novada Robežnieku pagasta pārvalde
600200033;BOROVKAS FELDŠERU-VECMĀŠU PUNKTS, Krāslavas novada Ūdrīšu pagasta pārvalde
600200032;AUGSTKALNES FELDŠERU-VECMĀŠU PUNKTS, Krāslavas novada Ūdrīšu pagasta pārvalde
10000967;Dr. Zaigas Blauas psihoterapijas prakse, IK
50012101;Daugavpils psihoneiroloģiskā slimnīca, valsts SIA
250000093;Ņ. Blūmas ārstnieciski kosmētiskais kabinets, IK
10065216;Medserviss, SIA
250000059;Krūzenberga Sniedze - zobu higiēnista prakse
600200029;SKUĶU FELDŠERU PUNKTS, Krāslavas novada Robežnieku pagasta pārvalde
10000980;IBARDUS, SIA
270075406;Princis Pauls - ģimenes ārsta prakse
880200036;Kristapsone Agita - ārsta prakse zobārstniecībā
210000003;Visockis Jānis - ģimenes ārsta prakse
620200008;Kantāne Ilze - ārsta prakse zobārstniecībā
880200054;Viļumsone Anita - ārsta prakse zobārstniecībā
10064114;VESELĪBAS CENTRS4, Sabiedrība ar ierobežotu atbildību
10000222;Epnere Una - acu ārsta prakse
880200090;Šteinfelde Ineta - ārsta prakse zobārstniecībā
90020301;JELGAVAS PILSĒTAS SLIMNĪCA, SIA
440200010;Nesterovs Ivans - ģimenes ārsta prakse
840200014;Jurcika Ina - ārsta prakse zobārstniecībā
10000135;LIORA S.I., Sabiedrība ar ierobežotu atbildību
19167401;Dr.Caunes privātprakse, SIA
10000135;Dr.Caunes privātprakse, SIA
170000042;Harmonic image, SIA
10000161;FLEBOMEDIKA, SIA
980200006;Kitte Rudīte - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
809600003;Kefiss, Sabiedrība ar ierobežotu atbildību
250000045;V.SNIEGAS ZOBĀRSTA KABINETS, Individuālais komersants
10000964;Armandas Skrickas ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
170000097;DENTUS, SIA
840200046;Raņķe Žana - masiera prakse
19564501;Riga Implant Center, SIA
740200059;CEPĻUKALNS, Vestienas pagasta I.Vīksnes zemnieku saimniecība
10075413;M.Gavronskas ārsta prakse, Sabiedrība ar ierobežotu atbildību 
19575431;D.Pastares prakse, Sabiedrība ar ierobežotu atbildību
801400002;Saulkrastu veselības un sociālās aprūpes centrs, Pašvaldības aģentūra
420200034;Lapsa Maija - ārsta prakse zobārstniecībā
780200027;LENDŽU PAGASTA FELDŠERU - AKUŠIERU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS LENDŽU PAGASTA PĀRVALDE 
